method,source,PSNR,SSIM,SAM,ERGAS,Q2n,CC,SCC,RMSE_DN,implied_psnr_peak_DN
GSA,TIP'26 Table IV (reported),47.5769,0.9933,1.7216,2.1667,0.9658,0.9894,0.9773,70.5383,16876
CNMF,TIP'26 Table IV (reported),44.5291,0.9891,1.7259,2.8676,0.9662,0.9828,0.9645,101.6387,17120
FUSE,TIP'26 Table IV (reported),41.155,0.9787,2.5814,3.471,0.9418,0.9736,0.9486,148.1037,16917
U2Net,TIP'26 Table IV (reported),50.5455,0.9956,1.2389,1.874,0.9928,0.992,0.9798,49.9668,16825
PSRT,TIP'26 Table IV (reported),50.6722,0.9952,1.2733,2.0107,0.9862,0.9906,0.9778,48.9959,16741
DCT,TIP'26 Table IV (reported),52.1998,0.9977,0.9239,1.7448,0.9832,0.9935,0.9873,41.4501,16886
DDIF,TIP'26 Table IV (reported),53.4421,0.9972,0.9387,1.8087,0.9963,0.9929,0.984,35.5809,16723
MIMFormer,TIP'26 Table IV (reported),53.3578,0.9973,0.9094,1.7611,0.9948,0.9931,0.985,35.8981,16709
MIMOSST,TIP'26 Table IV (reported),53.6073,0.9972,0.9315,1.8119,0.9944,0.9926,0.9834,34.933,16734
OTPNet,TIP'26 Table IV (reported),52.8243,0.9969,1.0201,1.9332,0.994,0.9916,0.9841,38.4925,16850
SMGU,TIP'26 Table IV (reported),54.5244,0.9977,0.8719,1.6405,0.9952,0.9939,0.9875,31.2882,16657
AMSF,TIP'26 Table IV (reported),49.3827,0.9944,1.4852,2.3943,0.9878,0.9879,0.979,56.7757,16722
SSDT,TIP'26 Table IV (reported),52.4788,0.9975,0.8768,1.7992,0.9939,0.9928,0.9847,40.003,16828
ASMNet,TIP'26 Table IV (reported),53.4528,0.9972,0.9472,1.9153,0.9874,0.9917,0.9848,35.8886,16889
DPFormer,TIP'26 Table IV (reported),53.1632,0.997,0.9483,1.8795,0.9949,0.9923,0.9824,37.1802,16923
CLSNet,TIP'26 Table IV (reported),55.2007,0.9979,0.7836,1.6318,0.9943,0.9941,0.9869,29.0584,16723
Two-Stage Diffusion (TIP'26),TIP'26 Table IV (reported),56.1871,0.9982,0.7203,1.5158,0.9969,0.9948,0.9891,25.7329,16590
PUFormer (ours),Kaggle run 2026-09-24 (commit 548c3df),57.9943,0.9969,0.7281,1.3561,,0.9966,,19.3466,15133
